miRNA_ID	Target_ID
hsa-miR-23b-3p	ENSG00000115233
hsa-miR-23b-3p	ENSG00000103351
hsa-miR-23b-3p	ENSG00000241399
hsa-miR-23b-3p	ENSG00000082898
hsa-miR-23b-3p	ENSG00000162434
hsa-miR-23b-3p	ENSG00000155846
hsa-miR-23b-3p	ENSG00000174151
hsa-miR-23b-3p	ENSG00000117450
hsa-miR-23b-3p	ENSG00000103222
hsa-miR-23b-3p	ENSG00000100138
hsa-miR-23b-3p	ENSG00000124608
hsa-miR-23b-3p	ENSG00000144357
hsa-miR-23b-3p	ENSG00000118705
hsa-miR-23b-3p	ENSG00000175573
hsa-miR-23b-3p	ENSG00000275023
hsa-miR-23b-3p	ENSG00000096433
hsa-miR-23b-3p	ENSG00000097096
hsa-miR-23b-3p	ENSG00000183530
hsa-miR-23b-3p	ENSG00000119760
hsa-miR-23b-3p	ENSG00000152234
hsa-miR-23b-3p	ENSG00000156508
hsa-miR-23b-3p	ENSG00000165678
hsa-miR-23b-3p	ENSG00000182944
hsa-miR-23b-3p	ENSG00000100393
hsa-miR-23b-3p	ENSG00000170248
hsa-miR-23b-3p	ENSG00000155380
hsa-miR-23b-3p	ENSG00000009307
hsa-miR-23b-3p	ENSG00000166135
hsa-miR-23b-3p	ENSG00000109466
hsa-miR-23b-3p	ENSG00000132155
hsa-miR-23b-3p	ENSG00000120071
hsa-miR-23b-3p	ENSG00000122218
hsa-miR-23b-3p	ENSG00000157456
hsa-miR-23b-3p	ENSG00000143815
hsa-miR-23b-3p	ENSG00000005100
hsa-miR-23b-3p	ENSG00000104823
hsa-miR-23b-3p	ENSG00000165119
hsa-miR-23b-3p	ENSG00000129636
hsa-miR-23b-3p	ENSG00000140553
hsa-miR-23b-3p	ENSG00000182307
hsa-miR-23b-3p	ENSG00000072041
hsa-miR-23b-3p	ENSG00000047849
hsa-miR-23b-3p	ENSG00000051180
hsa-miR-23b-3p	ENSG00000170677
hsa-miR-23b-3p	ENSG00000197746
hsa-miR-23b-3p	ENSG00000198373
hsa-miR-23b-3p	ENSG00000149925
hsa-miR-23b-3p	ENSG00000104824
hsa-miR-23b-3p	ENSG00000186815
hsa-miR-23b-3p	ENSG00000115204
hsa-miR-23b-3p	ENSG00000165671
hsa-miR-23b-3p	ENSG00000070413
hsa-miR-23b-3p	ENSG00000117399
hsa-miR-23b-3p	ENSG00000125779
hsa-miR-23b-3p	ENSG00000103404
hsa-miR-23b-3p	ENSG00000167721
hsa-miR-23b-3p	ENSG00000161960
hsa-miR-23b-3p	ENSG00000205250
hsa-miR-23b-3p	ENSG00000181163
hsa-miR-23b-3p	ENSG00000127463
hsa-miR-23b-3p	ENSG00000125257
